aleph system no.,dom id,author (o),author (n),other author (o),other author (n),title,title (n),metadata,edition,imprint (o),p name,p location,p year,type
014622845,lsidyv394301f4,"fuller, john, surgeon, of liverpool.","fuller, john",,,"the liverpool tragedy; or a warning to disobedient children ... shewing how one j. f. left his father's house to go to sea, etc. [electronic resource]",the liverpool tragedy; or a warning to disobedient children,"shewing how one j. f. left his father's house to go to sea, etc...",,"london, [1815?]",,london,1815,tragedy
014628804,lsidyv3968ab18,,,"daniel, george, of islington. -- mitford, mary russell.","daniel, george, .  mitford, mary russell","remarks on miss mitford's tragedy of rienzi. by the editor of cumberland's british theatre. [signed: d-g., i.e. george daniel.] [electronic resource]",remarks on miss mitford's tragedy of rienzi,"by the editor of cumberland's british theatre. [signed: d-g., i.e. george daniel.]",,"london : john cumberland, 1828.",john cumberland,london,1828,tragedy
014628956,lsidyv399029dd,,,,,the city of the magi. a tragedy [in three acts and in verse] ... part 1. [electronic resource],the city of the magi. a tragedy,[in three acts and in verse]...part 1,,"cambridge, [1820?]",,cambridge,1820,tragedy
014635260,lsidyv314b8852,,,,,"the appeal: a tragedy, in three acts, etc. [in verse. by john galt.] [electronic resource]","the appeal: a tragedy, in three acts, etc.",[in verse. by john galt.],,"edinburgh : a. constable & co., 1818.",a. constable & co.,edinburgh,1818,tragedy
014635399,lsidyv39f3fcf4,"hugo, thomas, dramatic writer.","hugo, thomas",,,charles the ninth. a tragedy. [in verse.] [electronic resource],charles the ninth. a tragedy,[in verse.],,"london; edward howell liverpool : simpkin, marshall & co., 1868.",simpkin marshall & co.,london,1868,tragedy
014643346,lsidyv3abe2f52,,,,,to her royal highness the princess of wales with the tragedy of cato. nov. 1714. to sir godfrey kneller on his picture of the king. [poems. by the right hon. j. addison.] [electronic resource],poems,to her royal highness the princess of wales with the tragedy of cato. nov. 1714. to sir godfrey kneller on his picture of the king. [by the right hon. j. addison.],,"london : j. tonson, 1716.",j. tonson,london,1716,tragedy
014774117,lsidyv3499b9f4,"kennedy, charles rann, of trinity college, cambridge.","kennedy, charles rann",,,francis beaumont a tragedy. [in verse.] [electronic resource],francis beaumont a tragedy,[in verse.],,"birmingham : j. guest, [1860?].",j. guest,birmingham,1860,tragedy
014774147,lsidyv3396ec98,"milman, henry hart, 1791-1868.","milman, henry hart",,,"the belvidere apollo; fazio, a tragedy, [in five acts and in verse] and other poems, etc. [electronic resource]","the belvidere apollo; fazio, a tragedy, and other poems, etc.",[in five acts and in verse],,"london, 1821.",,london,1821,tragedy
014803725,lsidyv349c2a46,"akerman, william.","akerman, william",,,the cross of sorrow. a tragedy in five acts. [in verse.] [electronic resource],the cross of sorrow. a tragedy in five acts,[in verse.],,"london : g. bell & sons, 1894.",g. bell & sons,london,1894,tragedy
014803726,lsidyv3494270f,,,,,"allaooddeen, a tragedy, and other poems. by the author of 'constance' &c. [electronic resource]","allaooddeen, a tragedy, and other poems",by the author of 'constance' &c,,"london : smith, elder & co., 1880.",smith elder & co.,london,1880,tragedy
014803870,lsidyv3b32765d,"allen, edward heron.","allen, edward heron",,,"a fatal fiddle: the commonplace tragedy of a snob. with illustrations, etc. [tales.] [electronic resource]",a fatal fiddle: the commonplace tragedy of a snob,"with illustrations, etc. [tales.]",,"chicago : belford, clarke & co., [1890.].",belford clarke & co.,chicago,1890,tragedy
014804044,lsidyv3498a830,,,,,anne boleyn: a tragedy. [in verse.] [electronic resource],anne boleyn: a tragedy,[in verse.],,"london : w. kent & co., 1861.",w. kent & co.,london,1861,tragedy
014804117,lsidyv349cbd06,,,"landor, robert eyres.","landor, robert eyres","the count arezzi, a tragedy, in five acts. [by robert eyres landor. in verse.] [electronic resource]","the count arezzi, a tragedy, in five acts",[by robert eyres landor. in verse.],,"london : john booth, 1824.",john booth,london,1824,tragedy
014804215,lsidyv34ed2021,"arterton, a.","arterton, a.",,,king charles the first. an historical tragedy. in five acts. [electronic resource],king charles the first. an historical tragedy. in five acts,,,"london : remington & co., 1880.",remington & co.,london,1880,tragedy
014804262,lsidyv34700833,"aston, joseph, of manchester.","aston, joseph",,,"conscience. a tragedy, in five acts. [electronic resource]","conscience. a tragedy, in five acts",,,"london : longman & co., 1815.",longman & co.,london,1815,tragedy
014804274,lsidyv3a58067b,,,"brown, john, vicar of newcastle-upon-tyne. -- garrick, david.","brown, john.  garrick, david","athelstan. a tragedy. [in verse. by john brown, d.d., vicar of newcastle-upon-tyne. the epilogue by david garrick.] [electronic resource]",athelstan. a tragedy,"[in verse. by john brown, d.d., vicar of newcastle-upon-tyne. the epilogue by david garrick.]",,"london : l. davis & c. reymers, 1756.",l. davis & c. reymers,london,1756,tragedy
014804336,lsidyv34741928,"austin, alfred, 1835-1913.","austin, alfred",,,the human tragedy. a poem. [electronic resource],the human tragedy. a poem,,,"london : robert hardwicke, 1862.",robert hardwicke,london,1862,tragedy
014804344,lsidyv349928b1,"austin, alfred, 1835-1913.","austin, alfred",,,savonarola; a tragedy. [in verse.] [electronic resource],savonarola; a tragedy,[in verse.],,"london : macmillan & co., 1881.",macmillan & co.,london,1881,tragedy
014804402,lsidyv34999178,"b., j. t.","b., j. t.","bottle, joshua t.","bottle, joshua t.",brian boru. a tragedy. by j. t. b. [i.e. joshua t. bottle. in verse.] [electronic resource],brian boru. a tragedy,by j. t. b. [i.e. joshua t. bottle. in verse.],,"london : longmans, green & co., 1879.",longmans green & co.,london,1879,tragedy
014804465,lsidyv338ec6bc -- lsidyv33922e36 -- lsidyv3428c06f,"baillie, joanna, 1762-1851","baillie, joanna",,,a series of plays: in which it is attempted to delineate the stronger passions of the mind-each passion being the subject of a tragedy and a comedy. [electronic resource],a series of plays: in which it is attempted to delineate the stronger passions of the mind-each passion being the subject of a tragedy and a comedy,,,"london : t. cadell & w. davies, 1798-1812.",t. cadell & w. davies -,london,1798,tragedy
014804572,lsidyv3426fe41,"bancroft, john, surgeon.","bancroft, john",,,"the tragedy of sertorius, etc. [in verse.] [electronic resource]","the tragedy of sertorius, etc.",[in verse.],,"london : for r. bentley & m. magnes, 1679.",for r. bentley & m. magnes,london,1679,tragedy
014804582,lsidyv338f35a1,"banks, john, d. 1706.","banks, john",,,"[the unhappy favourite: or, the earl of essex. a tragedy. [inverse.] etc.] [electronic resource]","the unhappy favourite: or, the earl of essex. a tragedy. etc.",[inverse.],[another edition.],"london : r.bentley & m. magnes, 1685.",r.bentley & m. magnes,london,1685,tragedy
014804584,lsidyv34260323,"banks, john, d. 1706.","banks, john",,,"[vertue betray'd: or, anna bullen. a tragedy, etc. [in verse.]] [electronic resource]","vertue betray'd: or, anna bullen. a tragedy, etc.",[in verse.],[another edition.],"london : r. bentley, 1692.",r. bentley,london,1692,tragedy
014804680,lsidyv3499a981,,,,,"barra; or, the lord of the isles. a tragedy. in five acts. [in verse.] [electronic resource]","barra; or, the lord of the isles. a tragedy. in five acts",[in verse.],,"reading : richard welch, 1845.",richard welch,reading,1845,tragedy
014804805,lsidyv3a9b9f36 -- lsidyv3a5b751c,"batson, henrietta m.","batson, henrietta m.",,,such a lord is love ... a woman's heart tragedy. [electronic resource],such a lord is love ... a woman's heart tragedy,,,"london : a. d. innes & co., 1893.",a. d. innes & co.,london,1893,tragedy
014804903,lsidyv338f10af,"beaumont, francis, 1584-1616.","beaumont, francis","fletcher, john, dramatist.","fletcher, john","[the tragedy of thierry king of france, and his brother theodoret, etc. [by f. beaumont and j. fletcher, and probably revised by massinger.] [in five acts and in verse.]] [electronic resource]","the tragedy of thierry king of france, and his brother theodoret, etc.","[by f. beaumont and j. fletcher, and probably revised by massinger.] [in five acts and in verse.]","[another edition.] written by john fletcher gent. [or rather, by beaumont and fletcher.]",1648.,,,1648,tragedy
014804904,lsidyv342518ba,"beaumont, francis, 1584-1616.","beaumont, francis",,,the tragedy of valentinian. written by mr. f. beaumont and mr. j. fletcher [or rather by fletcher alone]. [electronic resource],the tragedy of valentinian,written by mr. f. beaumont and mr. j. fletcher [or rather by fletcher alone],,"london : for j. t.; sold by j. brown, 1717.",for j. t.; sold by j. brown,london,1717,tragedy
014804932,lsidyv349cce0c,"becket, andrew.","becket, andrew",,,socrates: a dramatic poem. written on the model of the ancient greek tragedy. [electronic resource],socrates: a dramatic poem. written on the model of the ancient greek tragedy,,,"london : g. wilkie & j. robinson; t. becket, 1806.",g. wilkie & j. robinson; t. becket,london,1806,tragedy
014805059,lsidyv35372bcd -- lsidyv353732c6,"belot, adolphe, 1829-1890.","belot, adolphe","dunstan, h. mainwaring.","dunstan, h. mainwaring",[le drame de la rue de la paix.] a tragedy indeed. a novel ... translated ... by h. mainwaring dunstan. [electronic resource],le drame de la rue de la paix,a tragedy indeed. a novel...translated by h. mainwaring dunstan,,"london : remington & co., 1878.",remington & co.,london,1878,tragedy
014805241,lsidyv349cd03d,"bicknell, john laurens, the younger.","bicknell, john laurens, the younger",,,the hour of trial; a tragedy. [in verse.] [electronic resource],the hour of trial; a tragedy,[in verse.],,"london : t. kilpack, 1824.",t. kilpack,london,1824,tragedy
014805310,lsidyv349cd50b,"birrell, andrew.","birrell, andrew",,,henry and almeria; a tragedy in five acts. [in verse.] [electronic resource],henry and almeria; a tragedy in five acts,[in verse.],,"london : printed for the author, 1802.",printed for the author,london,1802,tragedy
014805509,lsidyv3498e1c5,"bliss, henry.","bliss, henry",,,robespierre: a tragedy. [in verse.] [electronic resource],robespierre: a tragedy,[in verse.],,"london : b. kimpton, 1854.",b. kimpton,london,1854,tragedy
014805643,lsidyv349945f9,"booth, henry.","booth, henry",,,sebastian: a tragedy. [electronic resource],sebastian: a tragedy,,,"london : rowland hunter, 1823.",rowland hunter,london,1823,tragedy
014805785,lsidyv3492c238,"orrery, roger boyle, earl of, 1621-1679.","orrery, roger boyle",,,"the history of henry the fifth. and the tragedy of mustapha, son of solyman the magnificent, etc. [electronic resource]","the history of henry the fifth. and the tragedy of mustapha, son of solyman the magnificent, etc.",,,"london : h. herringman, 1690.",h. herringman,london,1690,tragedy
014805788,lsidyv396c166b,"bozděch, emanuel.","bozděch, emanuel",,,baron goertz: tragedy in five acts ... second edition. [electronic resource],baron goertz: tragedy in five acts,second edition...,,"prague; london printed : dr. e. gregr & dr. e. valecek, 1884.",dr. e. gregr & dr. e. valecek,prague,1884,tragedy
014805912,lsidyv3ae20905 -- lsidyv3ae25612,"brenten, john h.","brenten, john h.",,,"the tragedy of life: being records of remarkable phases of lunacy, kept by a physician. [electronic resource]",the tragedy of life,": being records of remarkable phases of lunacy, kept by a physician",,"london : smith, elder & co., 1861.",smith elder & co.,london,1861,tragedy
014805936,lsidyv3986e911,,,,,"the unhappy bride; or, the grave of the profligate. a domestic tragedy. [electronic resource]","the unhappy bride; or, the grave of the profligate. a domestic tragedy",,,"london : g. purkess, [1847.].",g. purkess,london,1847,tragedy
014806026,lsidyv3a57f69b,"brooke, henry, 1703?-1783.","brooke, henry",,,"gustavus vasa, the deliverer of his country. a tragedy, etc. [in verse.] [electronic resource]","gustavus vasa, the deliverer of his country. a tragedy, etc.",[in verse.],,"london : r. dodsley, 1739.",r. dodsley,london,1739,tragedy
014806053,lsidyv3a9a7592,,,,,"[the brothers. a tragedy, etc. [in verse. by edward young.]] [electronic resource]","the brothers. a tragedy, etc.",[in verse. by edward young.],the third edition.,"london : r. & j. dodsley, 1763.",r. & j. dodsley,london,1763,tragedy
014806258,lsidyv349cc223,"bucke, charles.","bucke, charles","b., c. -- kean, edmund, 1787-1833.","b., c.  kean, edmund","the italians; or, the fatal accusation: a tragedy. [in verse.] with a preface; containing the correspondence of the author with the committee of drury lane theatre; p. moore, esq. m.p.; and mr. kean. by the author of “the philosophy of nature.” [the preface signed: c. b., i.e. charles bucke.] [electronic resource]","the italians; or, the fatal accusation: a tragedy","[in verse.] with a preface; containing the correspondence of the author with the committee of drury lane theatre; p. moore, esq. m.p.; and mr. kean. by the author of “the philosophy of nature.” [the preface signed: c. b., i.e. charles bucke.]",,"london : pp. xxvi, 112. g. & w. b. whittaker 1819.",pp. xxvi 112. g. & w. b. whittaker,london,1819,tragedy
014806567,lsidyv346fd958,"byron, george gordon byron, baron, 1788-1824","byron, george gordon byron",,,"the miscellaneous works of lord byron. containing werner, a tragedy; heaven and earth; morgante maggiore; age of bronze; the island; vision of judgment; and the deformed transformed. [electronic resource]","the miscellaneous works of lord byron. containing werner, a tragedy; heaven and earth; morgante maggiore; age of bronze; the island; vision of judgment; and the deformed transformed",,,"london : hunt & clarke, 1830.",hunt & clarke,london,1830,tragedy
014806971,lsidyv34993dbf,"cartwright, fairfax leighton, right hon. sir, g.c.v.o.","cartwright, fairfax leighton",,,bianca capello. a tragedy. [in verse.] [electronic resource],bianca capello. a tragedy,[in verse.],,"london : field & tuer, 1886.",field & tuer,london,1886,tragedy
014807009,lsidyv3505a145,"catesby, robert.","catesby, robert",,,"catesby. a tragedy of the 'gunpowder plot,' etc. [electronic resource]","catesby. a tragedy of the 'gunpowder plot,' etc.",,,"guilford : billing & sons, 1897.",billing & sons,guilford,1897,tragedy
014807133,lsidyv314d39b7,"charles i, king of england, 1600-1649.",charles i.,"havard, william, dramatist.","havard, william",king charles the first: an historical tragedy. written in imitation of shakespear. as it is acted at the theatre-royal in lincoln's-inn-fields. [in verse. by william havard.] [electronic resource],king charles the first: an historical tragedy,written in imitation of shakespear. as it is acted at the theatre-royal in lincoln's-inn-fields. [in verse. by william havard.],,"london : j. watts, 1737.",j. watts,london,1737,tragedy
014807441,lsidyv338ef463,,,,,"clementina, a tragedy, etc. [by hugh kelly. in verse.] [electronic resource]","clementina, a tragedy, etc.",[by hugh kelly. in verse.],,"london : e. & c. dilly & t. cadell, 1771.",e. & c. dilly & t. cadell,london,1771,tragedy
014807634,lsidyv349ba5b0,"coleridge, samuel taylor, 1772-1834","coleridge, samuel taylor","pearson, john, of 46, pall mall. -- shepherd, richard herne, miscellaneous writer.","pearson, john, .  shepherd, richard herne","osorio, a tragedy; as originally written in 1797 ... [an earlier version of “remorse.”] now first printed from a copy recently discovered ... with the variorum readings of “remorse,” and a monograph on the history of the play in its earlier and later form by the author of “tennysoniana” [i.e. r. h. shepherd]. [edited by john pearson.] l.p. [electronic resource]","osorio, a tragedy","as originally written in 1797 [an earlier version of “remorse.”] now first printed from a copy recently discovered...with the variorum readings of “remorse,” and a monograph on the history of the play in its earlier and later form by the author of “tennysoniana” [i.e. r. h. shepherd]. [edited by john pearson.] l.p",,"london : john pearson, 1873.",john pearson,london,1873,tragedy
014807846,lsidyv345b0d77,,,"payne, henry neville.","payne, henry neville","the siege of constantinople; a tragedy, etc. [in verse. by henry neville payne.] [electronic resource]","the siege of constantinople; a tragedy, etc.",[in verse. by henry neville payne.],,"london : tho. dring, 1675.",tho. dring,london,1675,tragedy
014807980,lsidyv342865f3,"corneille, pierre, 1606-1684.","corneille, pierre","cotton, charles, 1630-1687.","cotton, charles","horace, a french tragedy ... englished by charles cotton. [electronic resource]","horace, a french tragedy",englished by charles cotton...,,"london : henry brome, 1671.",henry brome,london,1671,tragedy
014807995,lsidyv349cec0c,"cornwall, barry, pseud. [i.e. bryan waller procter.]",,,,"mirandola, a tragedy. [electronic resource]","mirandola, a tragedy",,,"london : john warren, 1821.",john warren,london,1821,tragedy
014808053,lsidyv345958bc,"courtenay, edward, earl of devon.","courtenay, edward",,,"courtnay earl of devonshire; or, the troubles of the princess elizabeth. a tragedy. comprehending a great part of the reign of queen mary, with the death of jane gray. [electronic resource]","courtnay earl of devonshire; or, the troubles of the princess elizabeth. a tragedy","comprehending a great part of the reign of queen mary, with the death of jane gray",,"london : nicholas cox, [1705?].",nicholas cox,london,1705,tragedy
014808374,lsidyv3390f4b0,"crown, mr. (john), 1640?-1712.","crown,  john",,,"caligula. a tragedy, etc. [electronic resource]","caligula. a tragedy, etc.",,,"london : j. orme for r. wellington, 1698.",j. orme for r. wellington,london,1698,tragedy
014808382,lsidyv3390e449,"crown, mr. (john), 1640?-1712.","crown,  john","shakespeare, william, 1564-1616","shakespeare, william","the misery of civil-war. a tragedy, etc. [adapted from shakespeare's “king henry vi,” pt. ii and iii.] [electronic resource]",the misery of civil-war,"a tragedy, etc. [adapted from shakespeare's “king henry vi,” pt. ii and iii.]",,"london : r. bentley & m. magnes, 1680.",r. bentley & m. magnes,london,1680,tragedy
014808383,lsidyv3390efd6,"crown, mr. (john), 1640?-1712.","crown,  john",,,"regulus: a tragedy, etc. [electronic resource]","regulus: a tragedy, etc.",,,"london : james knapton, 1694.",james knapton,london,1694,tragedy
014808685,lsidyv34224f6e,"davenant, charles.","davenant, charles","dryden, john, 1631-1700.","dryden, john","circe, a tragedy. as it is acted at his royal highness the duke of york's theatre. [electronic resource]","circe, a tragedy",as it is acted at his royal highness the duke of york's theatre,,"london : richard tonson, 1677.",richard tonson,london,1677,tragedy
014808690,lsidyv3423fbe0,"davenant, william, sir.","davenant, william",,,"the cruell brother. a tragedy, etc. [in verse.] [electronic resource]","the cruell brother. a tragedy, etc.",[in verse.],,"london : a. m. for iohn waterson, 1630.",a. m. for iohn waterson,london,1630,tragedy
014808701,lsidyv345c7c54,"davenport, robert.","davenport, robert",,,"king john and matilda, a tragedy. as it was acted with great applause by her majesties servants at the cock-pit in drury-lane. [electronic resource]","king john and matilda, a tragedy",as it was acted with great applause by her majesties servants at the cock-pit in drury-lane,,"london : andrew pennycuicke, 1655.",andrew pennycuicke,london,1655,tragedy
014808937,lsidyv38dfa0d8,"de la pasture, elizabeth lydia rosabelle, afterwards clifford (elizabeth lydia rosabelle) lady.","de la pasture, elizabeth lydia rosabelle, afterwards clifford elizabeth lydia rosabelle",,,a toy tragedy. [electronic resource],a toy tragedy,,,"london : cassell & co., 1894.",cassell & co.,london,1894,tragedy
014809234,lsidyv349c8830,"dixon, william john.","dixon, william john","culpeper, n. c. bishop.","culpeper, n. c. bishop",sir walter ralegh: a tragedy ... illustrated by n. c. bishop-culpeper. [electronic resource],sir walter ralegh: a tragedy,illustrated by n. c. bishop-culpeper...,,"london : chiswick press, 1897.",chiswick press,london,1897,tragedy
014809391,lsidyv346a3289,"downes, joseph.","downes, joseph",,,"the proud shepherd's tragedy; a scenic poem; edited by j. d. to which are added, fragments of a correspondence, and poems. [electronic resource]",the proud shepherd's tragedy; a scenic poem,"edited by j. d. to which are added, fragments of a correspondence, and poems",,"edinburgh, 1823.",,edinburgh,1823,tragedy
014809416,lsidyv3a068772,"doyle, arthur conan, sir, 1859-1930","doyle, arthur conan",,,"the tragedy of the korosko, etc. [a tale.] [electronic resource]","the tragedy of the korosko, etc.",[a tale.],,"london : smith, elder & co., 1898.",smith elder & co.,london,1898,tragedy
014809466,lsidyv3390fabf,"dryden, john, 1631-1700.","dryden, john",,,"all for love or, the world well lost. a tragedy, as it is acted at the theatre-royal; and written in imitation of shakespeare's stile. [electronic resource]","all for love or, the world well lost. a tragedy",", as it is acted at the theatre-royal; and written in imitation of shakespeare's stile",,"] henry herringman; printed by tho. newcomb : [london, 1678.",] henry herringman; printed by tho. newcomb,london,1678,tragedy
014809467,lsidyv3391019a,"dryden, john, 1631-1700.","dryden, john",,,amboyna: a tragedy. as it is acted at the theatre-royal. [electronic resource],amboyna: a tragedy,as it is acted at the theatre-royal,,"henry herringman; printed by t. n. [thomas newcomb] : london, 1673.",henry herringman; printed by t. n. [thomas newcomb],london,1673,tragedy
014809470,lsidyv3a583f7e,"dryden, john, 1631-1700.","dryden, john",,,"[aureng-zebe: a tragedy. acted at the royal theatre, etc.] [electronic resource]",aureng-zebe: a tragedy,"acted at the royal theatre, etc",[another edition.],"henry herringman; printed by j. m. : london, 1685.",henry herringman; printed by j. m.,london,1685,tragedy
014809474,lsidyv3860e2fd -- lsidyv31b3ae2b,"dryden, john, 1631-1700.","dryden, john",,,"don sebastian, king of portugal: a tragedy acted at the theatre royal. [electronic resource]","don sebastian, king of portugal",: a tragedy acted at the theatre royal,,"printed for jo. hindmarsh : london, 1690.",printed for jo. hindmarsh,london,1690,tragedy
014809485,lsidyv3390fd68 -- lsidyv31b29dc7,"dryden, john, 1631-1700.","dryden, john",,,"[oedipus: a tragedy. as it is acted at his royal highness the duke's theatre. the authors mr. dryden, and mr. lee.] [electronic resource]",oedipus: a tragedy,"as it is acted at his royal highness the duke's theatre. the authors mr. dryden, and mr. lee",the third edition.,"printed for richard bentley : london, 1687.",printed for richard bentley,london,1687,tragedy
014809496,lsidyv3a5838de,"dryden, john, 1631-1700.","dryden, john","shakespeare, william, 1564-1616","shakespeare, william","troilus and cressida, or, truth found too late. a tragedy as it is acted at the dukes theatre. to which is prefix'd, a preface containing the grounds of criticism in tragedy. [electronic resource]","troilus and cressida, or, truth found too late","a tragedy as it is acted at the dukes theatre. to which is prefix'd, a preface containing the grounds of criticism in tragedy",,"printed for jacob tonson; and abel swall : london, 1679.",printed for jacob tonson; and abel swall,london,1679,tragedy
014809498,lsidyv3422d40b,"dryden, john, 1631-1700.","dryden, john",,,"[tyrannick love, or the royal martyr. a tragedy. as it is acted by his majesties servants, at the theatre royal.] [electronic resource]","tyrannick love, or the royal martyr. a tragedy","as it is acted by his majesties servants, at the theatre royal","the second edition, review'd by the authour.","printed for h. herringman : london, 1672.",printed for h. herringman,london,1672,tragedy
014809533,lsidyv34993a9e,"dudley, john, 1st duke of northumberland.","dudley, john",,,john dudley. a tragedy [in five acts and in verse] for the stage and closet. by scriptor ignotus. [electronic resource],john dudley. a tragedy,[in five acts and in verse] for the stage and closet. by scriptor ignotus,,"london : reeves and turner, 1886.",reeves and turner,london,1886,tragedy
014809795,lsidyv349cf8fd,"edwards, john, of old court, in the county of wicklow.","edwards, john",,,abradatas and panthea; a tragedy in five acts [and in verse] from the cyropaedia of xenophon. [electronic resource],abradatas and panthea; a tragedy in five acts,[and in verse] from the cyropaedia of xenophon,,"london, 1803.",,london,1803,tragedy
014809951,lsidyv3cb7f1da,"ellms, charles.","ellms, charles",,,"the tragedy of the seas; or sorrow on the ocean, lake and river, from shipwreck, plague, fire and famine. [electronic resource]","the tragedy of the seas; or sorrow on the ocean, lake and river, from shipwreck, plague, fire and famine",,,"new york, 1841.",,new york,1841,tragedy
014810159,lsidyv349cfb6a,epicharis.,epicharis,,,"epicharis, an historical tragedy [in five acts and in verse]. by the author of granby [t. h. lister]. [electronic resource]","epicharis, an historical tragedy",[in five acts and in verse]. by the author of granby [t. h. lister],,"london, 1829.",,london,1829,tragedy
014810381,lsidyv3b796dcd -- lsidyv3b797f37 -- lsidyv3b733406,"farjeon, benjamin leopold.","farjeon, benjamin leopold",,,the tragedy of featherstone. a novel ... second edition. [electronic resource],the tragedy of featherstone. a novel,second edition...,,"london : ward & downey, 1887.",ward & downey,london,1887,tragedy
014810447,lsidyv3add68d2,"fearon, alec.","fearon, alec",,,“the root of all evil.” a farmhouse tragedy of thirty years ago. [a novel.] [electronic resource],“the root of all evil.” a farmhouse tragedy of thirty years ago,[a novel.],,"pp. 270. sonnenschein & co.: london, 1889 [1888].",pp. 270. sonnenschein & co.,london,1888,tragedy
014810489,lsidyv3a9592bb,"fenn, george manville.","fenn, george manville",,,lady maude's mania; a tragedy in high life. [electronic resource],lady maude's mania; a tragedy in high life,,,"london & new york : f. warne & co., 1890.",f. warne & co.,london & new york,1890,tragedy
014810554,lsidyv3499b7ca,,,,,the weight of a crown. a tragedy in five acts [and in verse]. by ferragus. [electronic resource],the weight of a crown. a tragedy in five acts,[and in verse]. by ferragus,,"london : saunders and otley, 1852.",saunders and otley,london,1852,tragedy
